SERIAL,REF,QUESTNNR,MODE,STARTED,AK01_01,AK01_02,AK01_03,AK01_04,AK01_05,AK01_06,AK01_07,AK01_08,AK01_09,AK02_01,AK03,AK04,AK04_07,AK04_01,AK04_02,AK04_03,AK04_04,AK04_05,AK04_06,AK05_01,AS01,AS02_01,AS03_16,AS03_16a,AS05,AS05_17,BF_Gew1,BF_Ext1,BF_Ver1,BF_Off1,BF_Neu1,BF_Ext2,BF_Ver2,BF_Gew2,BF_Ext3,BF_Off2,BF_Neu2,BF_Gew3,BF_Ver3,BF_Off3,BF_Neu3,BF03,BF04,BF05,BG02,EE01_01,EE01_02,EE01_03,EE02_01,EE02_02,EW01_01,EW01_02,EW01_03,EW01_04,EW01_05,EW01_06,EW01_07,EW01_08,EW01_09,EW01_10,HV01_01,HV01_02,HV01_03,HV01_04,HV02_01,LM01_01,LM01_02,LM01_03,LM01_04,LM01_05,LM01_07,LM01_08,LM02,LM02x01,LM02x02,LM02x03,LM02x04,LM02x05,LM02x06,LM02x07,LM02x08,LM02x09,LM02x10,NC01_01,NC01_02,NC01_03,NC01_04,PC01_01,PC01_02,PC01_03,PC01_04,PC01_05,PC01_06,PC01_07,PC01_08,PC01_09,SD01,SD02_01,SD04_01,SELLMO_01,SELLMO_02,SELLMO_03,SELLMO_04,SELLMO_05,SELLMO_06,SELLMO_07,SELLMO_08,SELLMO_09,SELLMO_10,SELLMO_11,SELLMO_12,SELLMO_13,SELLMO_14,SELLMO_15,SELLMO_16,SELLMO_17,SELLMO_18,SELLMO_19,SELLMO_20,SELLMO_21,SELLMO_22,SELLMO_23,SELLMO_24,SELLMO_25,SELLMO_26,SELLMO_27,SELLMO_28,SELLMO_29,SELLMO_30,SELLMO_31,ST01,ST01_11,ST02_01,ST03,ST04,ST05,ST05_01,ST05_02,ST05_03,ST05_04,ST05_04a,ST05_05,ST05_05a,ST07_01,UA02_01,UA02_02,UA02_03,UA02_04,UA02_05,UA02_06,UA02_07,WL01_01,WL03_01,ZG01_CP,ZG01,ZG03_01,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,PID,n_NA,min_n_NA_perPerson,rows_to_keep,informed_consent
NA,552,Fragebogen6,interview,2022-10-19T15:20:50Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allgemeine Hochschulreife,1.6,14,FALSE,NA,NA,6,5,6,6,4,2,5,5,2,5,3,7,7,6,3,NA,NA,NA,"Ja. Ich bin damit einverstanden, dass meine anonymisierten Antworten und Moodle-Nutzungsdaten unter den beschriebenen Bedingungen für wissenschaftliche Zwecke verwendet werden.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,3,2,4,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,3,3,3,3,2,3,3,2,1,3,weiblich,20,NA,4,4,2,3,4,3,3,4,3,2,2,4,4,3,4,5,4,2,4,4,4,3,2,3,4,2,3,4,2,2,4,Bachelor Primarstufe,NA,3,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,1,TRUE,FALSE,FALSE,FALSE,NA,FALSE,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,67,6HCPXA254YYA1ZNB,3,NA,5,55,84,48,28,129,49,8,73,32,25,539,NA,2022-10-19T15:29:49Z,TRUE,FALSE,13,13,552,71,71,TRUE,TRUE
NA,553,Fragebogen6,interview,2022-10-19T15:27:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allgemeine Hochschulreife,2.7,NA,TRUE,NA,NA,6,6,3,5,6,5,6,5,5,4,2,5,7,5,3,NA,NA,NA,"Ja. Ich bin damit einverstanden, dass meine anonymisierten Antworten und Moodle-Nutzungsdaten unter den beschriebenen Bedingungen für wissenschaftliche Zwecke verwendet werden.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,3,2,3,3,1,Karteikarten ,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,4,2,1,1,1,2,2,2,2,2,weiblich,20,NA,4,4,3,4,5,3,2,2,2,3,3,3,3,3,2,4,3,3,3,4,4,4,3,5,5,2,3,5,3,3,2,Bachelor Primarstufe,NA,3,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,2,TRUE,FALSE,FALSE,TRUE,2,FALSE,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,226,MTGCWQZZZ9948C75,11,NA,11,52,53,76,60,87,73,8,209,153,14,807,NA,2022-10-19T15:40:33Z,TRUE,FALSE,13,13,553,70,70,TRUE,TRUE
NA,554,Fragebogen6,interview,2022-10-19T15:20:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allgemeine Hochschulreife,2.4,3,FALSE,NA,NA,6,6,3,5,7,6,6,6,6,5,5,6,6,6,3,NA,NA,NA,"Ja. Ich bin damit einverstanden, dass meine anonymisierten Antworten und Moodle-Nutzungsdaten unter den beschriebenen Bedingungen für wissenschaftliche Zwecke verwendet werden.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,2,3,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,2,2,1,1,1,1,1,1,1,1,1,weiblich,19,NA,2,4,2,4,2,4,2,4,4,2,2,4,4,4,3,4,4,3,4,2,4,4,2,2,5,4,4,2,4,4,4,Bachelor Primarstufe,NA,3,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,2,TRUE,FALSE,FALSE,TRUE,6,FALSE,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,77,7NP41XPF5447GF2S,5,NA,6,31,43,49,22,62,67,12,64,50,NA,411,NA,2022-10-19T15:27:43Z,FALSE,FALSE,12,12,554,71,71,TRUE,TRUE
NA,555,Fragebogen6,interview,2022-10-19T15:20:15Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allgemeine Hochschulreife,2.2,12,FALSE,NA,NA,5,3,6,6,4,5,6,2,5,4,7,6,5,6,1,NA,NA,NA,"Ja. Ich bin damit einverstanden, dass meine anonymisierten Antworten und Moodle-Nutzungsdaten unter den beschriebenen Bedingungen für wissenschaftliche Zwecke verwendet werden.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,4,2,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,3,1,3,2,2,3,4,2,3,1,4,männlich,20,NA,4,2,1,2,4,2,1,4,4,3,2,5,4,3,5,4,4,1,4,5,3,2,3,5,3,3,4,4,2,2,4,Bachelor Primarstufe,NA,3,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,2,TRUE,FALSE,FALSE,TRUE,4,FALSE,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,153,F2UHHXTYYSPSXK32,6,NA,38,100,85,155,44,135,89,9,145,46,59,911,NA,2022-10-19T15:35:26Z,TRUE,FALSE,13,13,555,70,70,TRUE,TRUE
NA,556,Fragebogen6,interview,2022-10-19T15:20:27Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allgemeine Hochschulreife,1.6,15,FALSE,NA,NA,6,4,3,3,4,4,5,6,5,2,3,5,5,6,3,NA,NA,NA,"Ja. Ich bin damit einverstanden, dass meine anonymisierten Antworten und Moodle-Nutzungsdaten unter den beschriebenen Bedingungen für wissenschaftliche Zwecke verwendet werden.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,3,1,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,2,4,2,1,2,3,1,2,1,2,1,weiblich,20,NA,2,2,3,4,4,1,4,1,4,2,4,4,5,4,4,3,4,2,4,2,2,4,4,2,4,2,3,2,4,2,2,Bachelor Primarstufe,NA,3,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr unterdurchschnittlich,2,TRUE,FALSE,FALSE,TRUE,5,FALSE,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,273,R43VXS2YVKL86A8P,4,NA,19,139,31,40,35,52,58,5,120,30,26,559,NA,2022-10-19T15:29:46Z,TRUE,FALSE,13,13,556,70,70,TRUE,TRUE
NA,557,Fragebogen6,interview,2022-10-19T15:20:13Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allgemeine Hochschulreife,2.3,4,FALSE,NA,NA,6,5,6,5,6,6,6,6,4,6,5,5,7,7,5,NA,NA,NA,"Ja. Ich bin damit einverstanden, dass meine anonymisierten Antworten und Moodle-Nutzungsdaten unter den beschriebenen Bedingungen für wissenschaftliche Zwecke verwendet werden.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,3,4,3,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,2,2,1,2,1,2,1,1,2,1,weiblich,21,NA,4,4,3,2,5,4,2,4,3,1,1,4,1,1,1,5,3,1,2,4,4,1,2,5,5,1,3,5,4,1,2,Bachelor Primarstufe,NA,3,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr unterdurchschnittlich,2,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,307,U32GPS667EAMEB18,19,NA,8,51,76,61,30,104,61,8,256,53,82,809,NA,2022-10-19T15:33:42Z,TRUE,FALSE,13,13,557,71,71,TRUE,TRUE
NA,558,Fragebogen6,interview,2022-10-19T15:20:33Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allgemeine Hochschulreife,2.2,7,FALSE,NA,NA,6,4,4,4,5,4,4,6,5,4,5,4,5,6,3,NA,NA,NA,"Ja. Ich bin damit einverstanden, dass meine anonymisierten Antworten und Moodle-Nutzungsdaten unter den beschriebenen Bedingungen für wissenschaftliche Zwecke verwendet werden.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,2,4,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,2,2,1,2,2,2,2,1,1,männlich,21,NA,4,3,3,2,4,4,3,2,3,2,2,4,3,3,3,4,2,3,3,4,4,4,3,3,4,4,2,4,2,3,4,Bachelor Sekundarstufe,NA,3,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,2,TRUE,FALSE,FALSE,FALSE,NA,TRUE,Nachhilfe und Tennistraining,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,4FRX6ATKGFQSGZ3N,14,NA,13,50,57,77,46,78,70,8,77,20,36,546,NA,2022-10-19T15:29:39Z,TRUE,FALSE,13,13,558,70,70,TRUE,TRUE
NA,559,Fragebogen6,interview,2022-10-19T15:20:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fachgebundene Hochschulreife,2.5,8,FALSE,NA,NA,6,6,3,4,6,6,6,5,6,4,2,6,6,5,3,NA,NA,NA,"Ja. Ich bin damit einverstanden, dass meine anonymisierten Antworten und Moodle-Nutzungsdaten unter den beschriebenen Bedingungen für wissenschaftliche Zwecke verwendet werden.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,2,1,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,3,2,2,1,2,2,3,2,2,1,weiblich,20,NA,4,4,2,3,4,4,2,2,3,2,2,4,3,4,2,5,2,4,2,4,2,5,2,2,4,4,2,2,1,2,2,Bachelor Sekundarstufe,NA,3,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,2,TRUE,FALSE,FALSE,TRUE,19,FALSE,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22,2Q3SGC2VS43DDBWR,6,NA,16,51,96,45,48,83,68,8,75,26,55,577,NA,2022-10-19T15:29:48Z,TRUE,FALSE,13,13,559,70,70,TRUE,TRUE
NA,560,Fragebogen6,interview,2022-10-19T15:20:42Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allgemeine Hochschulreife,1.9,NA,TRUE,NA,NA,7,4,5,4,6,2,6,6,5,4,4,6,6,6,3,NA,NA,NA,"Ja. Ich bin damit einverstanden, dass meine anonymisierten Antworten und Moodle-Nutzungsdaten unter den beschriebenen Bedingungen für wissenschaftliche Zwecke verwendet werden.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,2,2,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,2,1,1,1,2,2,2,2,2,weiblich,20,NA,3,2,1,3,4,2,1,3,1,1,1,4,3,2,1,5,1,3,3,3,3,2,2,4,3,2,2,4,3,3,3,Bachelor Primarstufe,NA,3,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,2,TRUE,FALSE,FALSE,FALSE,NA,TRUE,Jobs nach dem Abi/ während der ersten beiden Semester ,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,296,SZ55H9SWMQ3ZLRW3,15,NA,4,30,76,43,30,54,80,8,129,26,8,503,NA,2022-10-19T15:29:05Z,TRUE,FALSE,13,13,560,71,71,TRUE,TRUE
NA,561,Fragebogen6,interview,2022-10-19T15:20:47Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allgemeine Hochschulreife,1.5,9,FALSE,NA,NA,7,7,4,5,7,2,5,3,6,7,6,6,6,7,4,NA,NA,NA,[NA] nicht beantwortet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,3,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,1,3,3,3,2,3,3,2,2,2,weiblich,20,"Ich habe mich gefragt, warum es so viele Fragen zur Einstellung gegenüber meines Studiums gab, die sich auch untereinander so ähnlich waren, dass ich mich mehrmals gefragt habe, ob sich die Fragen nicht sogar doppeln.
Aber ich habe natürlich auch die feinen Unterschiede bemerkt.
Trotzdem frage ich mich, warum es so viele ähnliche Fragen gab?",4,4,3,2,5,4,2,4,4,1,2,5,4,4,2,5,4,1,1,5,4,4,2,5,5,4,1,5,1,1,2,Bachelor Primarstufe,NA,3,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,2,TRUE,FALSE,FALSE,TRUE,7,FALSE,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,381,YR8N1Q4ZLNWVASU6,3,NA,7,88,71,91,34,62,74,9,103,125,7,674,NA,2022-10-19T15:32:01Z,TRUE,FALSE,13,13,561,69,69,TRUE,TRUE
NA,562,Fragebogen6,interview,2022-10-24T06:27:25Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allgemeine Hochschulreife,2.2,8,FALSE,NA,NA,6,7,6,5,6,6,4,4,7,4,3,6,7,5,6,NA,NA,NA,"Ja. Ich bin damit einverstanden, dass meine anonymisierten Antworten und Moodle-Nutzungsdaten unter den beschriebenen Bedingungen für wissenschaftliche Zwecke verwendet werden.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,4,2,3,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,4,4,3,4,4,3,3,2,3,3,weiblich,21,NA,4,3,1,2,5,2,2,3,2,2,2,4,1,2,2,4,2,2,2,3,2,2,2,3,3,2,2,3,2,2,2,Bachelor Primarstufe,NA,3,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,2,TRUE,FALSE,FALSE,TRUE,14,FALSE,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,1V92H9A81WSAGQB1,7,NA,5,24,57,69,25,44,58,8,86,40,NA,423,NA,2022-10-24T06:34:28Z,FALSE,FALSE,12,12,562,71,71,TRUE,TRUE
NA,563,Fragebogen6,interview,2022-10-20T10:31:38Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allgemeine Hochschulreife,1.7,12,FALSE,NA,NA,5,4,6,5,6,6,5,2,6,5,4,4,7,4,4,NA,NA,NA,"Ja. Ich bin damit einverstanden, dass meine anonymisierten Antworten und Moodle-Nutzungsdaten unter den beschriebenen Bedingungen für wissenschaftliche Zwecke verwendet werden.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,1,2,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,1,3,3,3,3,3,3,3,2,3,weiblich,20,NA,4,3,1,3,4,3,1,4,1,2,2,5,1,1,1,4,1,1,3,4,3,4,1,4,3,3,2,4,1,1,3,Bachelor Primarstufe,NA,3,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr unterdurchschnittlich,2,TRUE,FALSE,FALSE,FALSE,NA,TRUE,Ferienjob in den Semesterferien ,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,75,7H3DFK3TFL9XGWKG,8,NA,12,47,67,95,40,123,69,7,155,67,14,704,NA,2022-10-20T10:43:22Z,TRUE,FALSE,13,13,563,70,70,TRUE,TRUE
NA,564,Fragebogen6,interview,2022-10-19T15:25:55Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allgemeine Hochschulreife,2.2,5,FALSE,NA,NA,6,7,5,5,6,6,7,6,7,7,4,7,7,7,5,NA,NA,NA,"Ja. Ich bin damit einverstanden, dass meine anonymisierten Antworten und Moodle-Nutzungsdaten unter den beschriebenen Bedingungen für wissenschaftliche Zwecke verwendet werden.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,3,4,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,5,1,3,3,2,2,2,3,2,2,2,weiblich,21,NA,5,5,1,3,5,2,1,5,1,1,1,5,1,1,1,5,2,1,1,5,5,1,1,5,5,1,1,5,3,2,1,Bachelor Sekundarstufe,NA,3,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,2,TRUE,FALSE,FALSE,TRUE,15,FALSE,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,309,U9FDN167EU2LZR1B,4,NA,5,64,95,65,71,109,87,6,430,78,139,1031,NA,2022-10-19T15:45:08Z,TRUE,FALSE,13,13,564,70,70,TRUE,TRUE
NA,565,Fragebogen6,interview,2022-10-19T15:20:39Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allgemeine Hochschulreife,2.0,2,FALSE,NA,NA,6,4,6,4,3,2,6,6,5,5,5,6,6,5,6,NA,NA,NA,"Ja. Ich bin damit einverstanden, dass meine anonymisierten Antworten und Moodle-Nutzungsdaten unter den beschriebenen Bedingungen für wissenschaftliche Zwecke verwendet werden.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,1,2,4,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,2,2,2,2,1,2,2,2,2,2,1,männlich,20,NA,5,3,1,1,5,1,1,5,1,1,1,4,1,1,1,5,1,1,1,5,2,2,2,4,4,1,1,5,1,2,4,Bachelor Primarstufe,NA,3,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,1,TRUE,FALSE,FALSE,FALSE,NA,FALSE,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,177,HDH1A632VNTBA9X3,9,NA,7,18,70,39,22,57,184,7,48,38,37,536,NA,2022-10-19T15:29:35Z,TRUE,FALSE,13,13,565,71,71,TRUE,TRUE
NA,567,Fragebogen6,interview,2022-10-19T15:20:17Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allgemeine Hochschulreife,1.8,13,FALSE,NA,NA,5,4,6,3,3,5,4,6,4,3,3,6,6,6,3,NA,NA,NA,"Ja. Ich bin damit einverstanden, dass meine anonymisierten Antworten und Moodle-Nutzungsdaten unter den beschriebenen Bedingungen für wissenschaftliche Zwecke verwendet werden.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,2,3,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,5,1,2,2,1,2,2,2,2,2,2,weiblich,19,NA,5,2,1,2,5,1,1,4,1,1,1,4,1,1,2,5,1,1,1,5,3,1,1,5,4,1,1,5,1,1,1,Bachelor Primarstufe,NA,3,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,2,TRUE,FALSE,FALSE,TRUE,8,FALSE,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,201,KZUAG5CZQ64BKUK7,9,NA,8,58,68,65,26,85,49,13,161,38,233,597,NA,2022-10-19T15:33:50Z,TRUE,FALSE,13,13,567,70,70,TRUE,TRUE
NA,568,Fragebogen6,interview,2022-10-24T21:11:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allgemeine Hochschulreife,1.2,15,FALSE,NA,NA,7,3,4,5,6,2,6,6,3,6,7,7,7,7,5,NA,NA,NA,"Ja. Ich bin damit einverstanden, dass meine anonymisierten Antworten und Moodle-Nutzungsdaten unter den beschriebenen Bedingungen für wissenschaftliche Zwecke verwendet werden.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,4,2,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,4,1,3,3,3,2,2,2,3,2,2,weiblich,23,NA,4,2,2,1,5,2,2,5,2,1,1,5,1,1,1,5,2,2,2,4,4,3,2,4,4,2,2,5,1,2,2,Bachelor Primarstufe,NA,3,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,2,TRUE,FALSE,FALSE,TRUE,9,FALSE,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,21,2NKMUZQW8F6XF8NA,237,NA,13,43,55,78,30,69,65,10,138,35,41,582,NA,2022-10-24T21:25:32Z,TRUE,FALSE,13,13,568,70,70,TRUE,TRUE
NA,569,Fragebogen6,interview,2022-10-19T15:20:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allgemeine Hochschulreife,2.5,10,FALSE,NA,NA,7,5,4,5,3,3,5,6,5,4,4,6,5,3,4,NA,NA,NA,"Ja. Ich bin damit einverstanden, dass meine anonymisierten Antworten und Moodle-Nutzungsdaten unter den beschriebenen Bedingungen für wissenschaftliche Zwecke verwendet werden.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,2,2,4,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,3,2,1,2,1,1,1,1,2,1,männlich,20,NA,4,5,1,3,5,2,3,4,2,1,2,4,3,2,2,4,3,2,2,5,4,4,2,5,5,2,2,4,2,2,4,Bachelor Sekundarstufe,NA,3,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,2,TRUE,FALSE,FALSE,TRUE,6,FALSE,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,172,GZUQHXN5GS8LQ715,18,NA,7,74,74,134,79,75,64,8,108,55,14,710,NA,2022-10-19T15:32:12Z,TRUE,FALSE,13,13,569,70,70,TRUE,TRUE
NA,570,Fragebogen6,interview,2022-10-19T15:20:24Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allgemeine Hochschulreife,3.1,9,FALSE,NA,NA,5,6,7,4,7,3,6,4,4,3,7,4,7,6,6,NA,NA,NA,"Ja. Ich bin damit einverstanden, dass meine anonymisierten Antworten und Moodle-Nutzungsdaten unter den beschriebenen Bedingungen für wissenschaftliche Zwecke verwendet werden.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,2,1,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,4,2,3,4,3,3,3,3,3,2,weiblich,30,NA,5,4,1,4,4,3,3,4,3,3,3,5,3,3,3,5,3,3,3,5,5,4,3,4,5,3,3,4,1,3,4,Bachelor Primarstufe,NA,6,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr unterdurchschnittlich,1,TRUE,FALSE,FALSE,FALSE,NA,FALSE,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,59,5TVAFQYAUS8Q4V6Y,3,NA,5,45,131,71,115,74,62,8,64,45,45,668,NA,2022-10-19T15:31:32Z,TRUE,FALSE,13,13,570,71,71,TRUE,TRUE
